log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,8363,0.00578954,298.467,0.00287486,0,0.00514871,0,0,2574.23,20,0.00393524,0,28,0,8363,0,8329.73,0.0149402,0.329121,20,0,0,0.02,0,1066.36,0.440432,0.102959,0.00386908,178.302,WAIT_DIE,0.00776679,0,0,0,1.40663,0,0.0119263,0.0057127,0,0,0,0,0,false,0,0,0,0,0,0,28.1118,199.953,0.0850683,0,0,0.00427,0.0304213,0,13,0.0734552,0.761935,0.00250356,0,0,1069,21.8643,0,2316,0,0,0,0,20,12881,0,6089,0,1.94831,0,0,0,1710.52,ONE_PC,0,2373.96,0,0,0,0,0,0,0.795656,0.5,0.0119229,0,7,0,0,1205,8363,1.6201,0,0,20,0.854293,0.104628,0
0,7599,0.00911962,375.999,0.00296856,0,0.00909881,0,0,2591.64,0,0.00375771,0,28,0,7599,0,7487.18,0.0195331,0.3254,0,0,0,0.04,0,1720.21,0.796422,0.147396,0.00348112,162.809,WAIT_DIE,0,0,0,0,1.4386,0,0.015789,0.00821085,0,0,0,0,0,false,0,0,0,0,0,0,28.4182,181.784,0.1211,0,0,0.00393406,0.0504444,0,0,0.0714604,0.812461,0.00248269,0,0,1585,22.0732,0,3692,0,0,0,1,0,14548,0,3901,0,1.66393,0,0,0,1377.96,ONE_PC,0,2310.98,0,0,0.396459,1,0,0,0.848125,0.5,0.0158196,0,0,0,0,2113,7599,0,0,0,0,0.761196,0.127676,0
0,6179,0.0195449,618.314,0.00350381,0,0.0106061,0,0,2883.79,1,0.00383167,0,28,0,6179,0,6042.4,0.0184363,0.336812,1,0,0,0.06,0,2772.1,1.00248,0.136288,0.0041982,35.8956,WAIT_DIE,0.00038099,0,0,0,1.52121,0,0.0145787,0.00746277,0,0,0,0,0,false,0,0,0,0,0,0,28.633,113.372,0.124406,0,0,0.00468004,0.105876,0,1,0.0612339,0.849913,0.00235751,0,0,1496,22.8222,0,3857,0,0,0,0,1,13761,0,2331,0,0.930835,0,0,0,1176.16,ONE_PC,0,2228.37,0,0,0,0,0,0,0.901939,0.5,0.0135025,0,0,0,0,2352,6179,0.555121,0,0,1,0.825001,0.143798,0
0,6682,0.00631689,365.058,0.00309715,0,0.0150084,0,0,2730.5,4,0.00376545,0,28,0,6682,0,6640.8,0.0212083,0.260169,4,0,0,0.08,0,2762.27,1.22824,0.119766,0.0034277,27.8404,WAIT_DIE,0.00121247,0,0,0,1.1779,0,0.0173636,0.00604357,0,0,0,0,0,false,0,0,0,0,0,0,28.1737,78.5476,0.144249,0,0,0.00457778,0.0508533,0,4,0.0694491,0.772259,0.00217345,0,0,1714,22.9292,0,4883,0,0,0,0,4,16229,0,1761,0,0.786645,0,0,0,1031.79,ONE_PC,0,2113.35,0,0,0,0,0,0,0.806902,0.5,0.0175141,0,0,0,0,3207,6682,0.22122,0,0,4,0.839791,0.140411,0
0,5518,0.0188982,560.48,0.00359382,0,0.0153105,0,0,3031.22,1,0.00402699,0,28,0,5518,0,5490.54,0.0211899,0.331514,1,0,0,0.1,0,3786.39,1.53789,0.150493,0.00390372,41.4914,WAIT_DIE,0.000434911,0,0,0,1.36374,0,0.0166095,0.00846193,0,0,0,0,0,false,0,0,0,0,0,0,28.14,127.741,0.143902,0,0,0.0051351,0.0861865,0,0,0.0601832,0.774631,0.002219,0,0,1400,22.7899,0,4499,0,0,0,0,1,14767,0,1015,0,0.971593,0,0,0,997.573,ONE_PC,0,2145.39,0,0,0,0,0,0,0.818858,0.5,0.0154959,0,1,0,0,3103,5518,0.421606,0,0,1,0.803952,0.1613,0
0,9582,0.00541133,94.6589,0.00291511,0,0.00038332,0,0,2812.22,26,0.00388709,0,28,0,9582,0,9435.27,0.00555073,0.363017,26,0,0,0,0,0,6.69194,0.0560669,-nan,31.3494,WAIT_DIE,0.0116943,0,0,0,1.55517,0,0.00447609,0.00234462,0,0,0,0,0,false,0,0,0,0,0,0,28.4354,93.6288,0.0284038,0,0,0.00392307,0.0479356,0,12,0.078943,0.746066,0.00291511,0,0,0,22.5946,0,0,0,0,0,1,26,9582,0,9582,0,1.10509,0,0,0,2804.13,TWO_PC,0,2804.2,0,0,0.196712,1,0,0,0.890005,0.5,0.00603474,0,14,0,0,0,9582,1.47371,0,0,26,0.900122,0.0619024,0
0,9109,0.00714749,226.005,0.0028453,0,0.00293046,0,0,2436.5,0,0.00404874,0,28,0,9109,0,9058.78,0.0121009,0.369626,0,0,0,0.01,0,526.28,182.668,0.0919731,0.00502367,151.2,WAIT_DIE,0,0,0,0,1.34008,0,0.0095343,0.00459396,0,0,0,0,0,false,0,0,0,0,0,0,28.1552,176.079,0.0665043,0,0,0.0053465,0.0512408,0,0,0.0777383,0.722558,0.00248102,0,0,629,21.9873,0,1291,0,0,0,0,0,11746,0,7804,0,1.84729,0,0,0,1957.97,TWO_PC,0,2348.88,0,0,0,0,0,0,0.808315,0.5,0.00882061,0,0,0,0,676,9109,0,0,0,0,0.846015,0.127292,0
0,8166,0.0073019,268.818,0.0030056,0,0.00492391,0,0,2410.33,5,0.00544614,0,28,0,8166,0,8092.9,0.0143726,0.348877,5,0,0,0.02,0,1015.24,326.017,0.108277,0.0049388,162.952,WAIT_DIE,0.00156924,0,0,0,1.33951,0,0.0114423,0.00579962,0,0,0,0,0,false,0,0,0,0,0,0,28.2529,184.906,0.0782428,0,0,0.00576676,0.0250396,0,0,0.0715991,0.755092,0.00228872,0,0,1032,22.0921,0,2167,0,0,0,1,5,12657,0,5957,0,1.75417,0,0,0,1596.78,TWO_PC,0,2155.01,0,0,0.66512,1,0,0,0.836841,0.5,0.0112625,0,5,0,0,1177,8166,0.292344,0,0,5,0.854789,0.143364,0
0,6797,0.00733212,330.994,0.0033722,0,0.00813635,0,0,2463.44,2,0.00545272,0,28,0,6797,0,6760.43,0.0174483,0.337422,2,0,0,0.04,0,1770.46,577.007,0.133085,0.00462914,175.016,WAIT_DIE,0.000614565,0,0,0,1.302,0,0.0138632,0.0069509,0,0,0,0,0,false,0,0,0,0,0,0,28.1515,194.598,0.100306,0,0,0.00607303,0.037269,0,2,0.0639793,0.736351,0.00219027,0,0,1399,22.2501,0,3287,0,0,0,0,2,13871,0,3503,0,1.59429,0,0,0,1281.84,TWO_PC,0,2044.05,0,0,0,0,0,0,0.817836,0.5,0.0136224,0,0,0,0,1895,6797,0.577296,0,0,2,0.823862,0.190264,0
0,5284,0.0198851,524.132,0.00406742,0,0.00903276,0,0,2802.04,1,0.00573454,0,28,0,5284,0,5253.76,0.0157455,0.339713,1,0,0,0.06,0,2916.97,740.274,0.110562,0.0052558,69.3515,WAIT_DIE,0.000356118,0,0,0,1.41915,0,0.0129514,0.00675705,0,0,0,0,0,false,0,0,0,0,0,0,28.1612,110.257,0.0982311,0,0,0.00677193,0.077629,0,0,0.0522577,0.747471,0.00209557,0,0,1280,22.9377,0,3282,0,0,0,1,1,12592,0,1987,0,0.786983,0,0,0,1153.88,TWO_PC,0,2014.35,0,0,0.547815,1,0,0,0.823032,0.5,0.0136512,0,1,0,0,2017,5284,0.73447,0,0,1,0.85103,0.248057,0
