prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
37412.6,0,57,2.15902,3043.06,0.36541,0.9,0.000913688,0,0,1107,1.09667,0,32,0,127,0,53.0184,0.0022729,0,1046,0,0,0.05,0,1250,8.715e+14,0.00917483,196.486,WAIT_DIE,0.33509,0,0,0,3.26282,0,0.0021134,0.000495358,0,0,0.513611,0,0,false,0,0,0,0,0,0,76.6527,244.565,0.0107785,0,1.59768,2.28555,0,488,0.0019669,4.74871,0,0,0,28,31.0991,91,26124,493,0,0,0,14,1051,0,0,52,0,0.050758,0,0,0,63147.4,TWO_PC,0,33929.9,0,0,2790.41,14,0,0,7.07139,0.5,0.00248233,0,563,0,0,47,127,283332,0,0,1107,2.36658,0
36673.5,0,56,2.4807,1413.07,0.417707,0.9,0.00116214,0,0,897,1.47288,0,32,0,132,0,48.0348,0.00252759,0,844,0,0,0.05,0,1500,5.58992e+14,0.0106721,278.569,WAIT_DIE,0.285641,0,0,0,3.55646,0,0.00233565,0.00060639,0,0,0.589607,0,0,false,0,0,0,0,0,0,87.9362,317.89,0.0113551,0,1.98312,2.5848,0,356,0.00205587,5.97159,0,0,0,24,31.1333,98,27263.7,508,0,0,0,28,860,0,0,57,0,0.0640857,0,0,0,58545.3,TWO_PC,0,31154,0,0,1156.33,28,0,0,8.78625,0.5,0.00214607,0,504,0,0,51,132,339408,0,0,897,2.71533,0
51441.2,0,61,2.14207,1647.28,0.354716,0.9,0.00162485,0,0,28736,1.30687,0,32,0,151,0,60.8324,0.00635213,0,28544,0,0,0.05,0,250,1.34441,0.0421786,354.534,WAIT_DIE,9.22135,0,0,0,3.1977,0,0.00574392,0.00207473,0,0,0.513891,0,0,false,0,0,0,0,0,0,79.4314,612.614,0.0290961,0,1.81129,2.20889,0,9963,0.00285974,5.02117,0,0,0,27,22.1472,4513,39501.9,637,0,0,0,28,28573,0,0,65,0,0.151205,0,0,0,89216.1,ONE_PC,0,43106.6,0,0,1377.09,28,0,0,7.61951,0.5,0.00459642,0,18610,0,0,59,151,283623,0,0,28736,2.40893,0
43562.9,0,54,1.85244,1468.16,0.253387,0.9,0.00134707,0,0,14309,0.811223,0,32,0,180,0,81.0214,0.003362,0,13914,0,0,0.05,0,500,1.99424,0.0126447,225.403,WAIT_DIE,5.32415,0,0,0,3.33661,0,0.00303548,0.000939148,0,0,0.46558,0,0,false,0,0,0,0,0,0,71.0923,338.41,0.0165389,0,1.45659,2.13402,0,5546,0.00266284,4.16321,0,0,0,40,26.0661,692,31314.7,680,0,0,0,14,13955,0,0,73,0,0.0971621,0,0,0,71407.8,ONE_PC,0,33569.3,0,0,1218.32,14,0,0,6.30142,0.5,0.00286343,0,8409,0,0,67,180,196022,0,0,14309,2.18728,0
47104,0,86,1.94069,1123.39,0.273327,0.9,0.00206351,0,0,18048,0.898384,0,32,0,166,0,73.9073,0.0121554,0,17092,0,0,0.05,0,750,1.22453,0.0515827,272.427,WAIT_DIE,6.21874,0,0,0,3.14855,0,0.0111158,0.00306534,0,0,0.470206,0,0,false,0,0,0,0,0,0,71.8739,451.234,0.060069,0,1.58288,1.99509,0,7448,0.00365036,4.23693,0,0,0,35,25.1512,9589,30021.7,643,0,0,0,26,17092,0,0,70,0,0.131707,0,0,0,119408,ONE_PC,0,41755.6,0,0,882.429,26,0,0,6.43823,0.5,0.00927325,0,9644,0,0,61,166,212769,0,0,18048,2.15377,0
38028.7,0,110,1.53946,3185.02,0.230111,0.9,0.00200386,0,0,15936,0.785657,0,32,0,194,0,93.2097,0.00760899,0,13974,0,0,0.05,0,1000,1.30722,0.0648999,448.323,WAIT_DIE,6.14401,0,0,0,2.97813,0,0.00652636,0.00236537,0,0,0.480094,0,0,false,0,0,0,0,0,0,66.6025,620.727,0.0434747,0,1.23043,1.80791,0,5073,0.00389526,3.87407,0,0,0,42,25.175,6800,28706.4,884,0,0,0,50,14103,0,0,79,0,0.183143,0,0,0,74883.8,ONE_PC,0,30527.2,0,0,2868.77,50,0,0,5.56133,0.5,0.00578321,0,9030,0,0,73,194,175858,0,0,15936,1.98129,0
38806.3,0,124,1.85742,658.373,0.265166,0.9,0.00230956,0,0,17967,0.879017,0,32,0,175,0,88.0713,0.00793891,0,17457,0,0,0.05,0,1250,1.26045,0.0424925,198.847,WAIT_DIE,7.08443,0,0,0,2.99721,0,0.00730194,0.00238274,0,0,0.410832,0,0,false,0,0,0,0,0,0,63.5848,329.273,0.0289058,0,1.298,1.93601,0,9296,0.00361848,3.35264,0,0,0,31,24.2971,4149,28256.4,1590,0,0,0,42,18150,0,0,67,0,0.103818,0,0,0,114092,ONE_PC,0,36079.6,0,0,425.342,42,0,0,5.14073,0.5,0.0066275,0,8854,0,0,77,175,211914,0,0,17967,1.91523,0
37623.1,0,103,1.74105,1992.62,0.232064,0.9,0.00258329,0,0,11433,0.740293,0,32,0,196,0,92.8027,0.0101015,0,10025,0,0,0.05,0,1500,1.42588,0.0306247,191.298,WAIT_DIE,3.99246,0,0,0,2.88543,0,0.00937623,0.00283035,0,0,0.448723,0,0,false,0,0,0,0,0,0,67.5842,283.65,0.0408938,0,1.33624,1.7526,0,5877,0.00422415,3.77351,0,0,0,40,27.4012,4597,24280.3,1284,0,0,0,35,10179,0,0,81,0,0.0996832,0,0,0,84550.8,ONE_PC,0,34614.6,0,0,1736.43,35,0,0,5.7653,0.5,0.00828308,0,4302,0,0,75,196,180490,0,0,11433,2.04709,0
50561.3,0,37,2.99531,3300.93,0.582155,0.9,0.00116787,0,0,1147,1.82668,0,32,0,104,0,33.0843,0.00263761,0,1120,0,0,0.05,0,250,29255.9,0.0115424,157.714,WAIT_DIE,0.259508,0,0,0,4.03546,0,0.00245169,0.00051221,0,0,0.776362,0,0,false,0,0,0,0,0,0,100.592,206.976,0.00988674,0,2.40111,3.0765,0,594,0.0016838,7.50902,0,0,0,21,31.1793,72,36182.2,472,0,0,0,16,1120,0,0,37,0,0.040209,0,0,0,73639.4,TWO_PC,0,44385.1,0,0,2355.17,16,0,0,10.8388,0.5,0.0014725,0,526,0,0,46,104,483441,0,0,1147,3.10223,0
44753.8,0,45,2.81998,7121.42,0.598741,0.9,0.00109465,0,0,2701,2.00871,0,32,0,108,0,33.4421,0.00245371,0,2657,0,0,0.05,0,500,8.54016e+14,0.0120073,225.936,WAIT_DIE,0.613149,0,0,0,4.15874,0,0.00226329,0.000658774,0,0,0.702702,0,0,false,0,0,0,0,0,0,103.343,279.87,0.0111742,0,2.59398,3.08659,0,753,0.0018627,7.5779,0,0,0,23,30.8213,128,33328,579,0,0,0,39,2723,0,0,38,0,0.0492086,0,0,0,67542.1,TWO_PC,0,42069.3,0,0,6870.57,39,0,0,11.1192,0.5,0.00205167,0,1970,0,0,47,108,506502,0,0,2701,3.1908,0
