log_size,num_log_yes,execute_phase (in us),ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,num_cache_misses,NUM_SERVER_THREADS,network_log,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,num_renew,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug7,time_debug4,time_read_queue,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,time_debug1 (in us),num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,time_debug5 (in us),COMMIT_ALG,time_debug6 (in us),num_cache_updates,total_log_yes (in us),time_write_output_queue,num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,total logs,CC (row) (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,total msgs,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,time_debug2 (in us),prepare_phase_2 (in us),num_pre_aborts
0,0,0,0,0.00299137,0,0,0,0,0,16,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00183249,0,WAIT_DIE,0,0,0,0,1.05855,0,7.4115e-05,0.109652,0,true,0,0,0,0,0,0,0,0,0.0065147,0,0,0,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,875,61,0,17217.2,0,0,0,0,0,0,1417.05,TWO_PC,24864.6,0,0,0,0,0,0,0,0,0,0,0.5,61,0,0,0,0,0,0,875,0,0,0,0,0.965286,16187.6,0,0
0,0,0,0,0.00588021,0,0,0,0,0,32,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00289206,0,WAIT_DIE,0,0,0,0,1.20243,0,0.000140422,0.111595,0,true,0,0,0,0,0,0,0,0,0.00984732,0,0,0,6.504e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,63,0,16941.2,0,0,0,0,0,0,1360.06,TWO_PC,25731.5,0,0,0,0,0,0,0,0,0,0,0.5,63,0,0,0,0,0,0,1024,0,0,0,0,0.985454,15956,0,0
0,0,0,0,0.00497122,0,0,0,0,0,64,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00229821,0,WAIT_DIE,0,0,0,0,1.1956,0,7.2613e-05,0.125134,0,true,0,0,0,0,0,0,0,0,0.00859877,0,0,0,5.472e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,68,0,16524.8,0,0,0,0,0,0,1583.36,TWO_PC,23883.1,0,0,0,0,0,0,0,0,0,0,0.5,68,0,0,0,0,0,0,1024,0,0,0,0,1.09164,15550.1,0,0
0,0,0,0,0.00283358,0,0,0,0,0,128,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00124529,0,WAIT_DIE,0,0,0,0,1.60242,0,7.4874e-05,0.161709,0,true,0,0,0,0,0,0,0,0,0.0053189,0,0,0,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,775,77,0,17075.5,0,0,0,0,0,0,1424.96,TWO_PC,23397.9,0,0,0,0,0,0,0,0,0,0,0.5,77,0,0,0,0,0,0,775,0,0,0,0,1.43808,16108.6,0,0
0,0,0,0,0.000519372,0,0,0,0,0,2,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000446281,0,WAIT_DIE,0,0,0,0,1.03914,0,1.2183e-05,0.107388,0,true,0,0,0,0,0,0,0,0,0.00135611,0,0,0,5.88e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,147,60,0,17316,0,0,0,0,0,0,3483.1,ONE_PC,23381.9,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,147,0,0,0,0,0.944992,16372.4,0,0
0,0,0,0,0.0011109,0,0,0,0,0,4,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00073461,0,WAIT_DIE,0,0,0,0,1.01234,0,1.6591e-05,0.106912,0,true,0,0,0,0,0,0,0,0,0.0024483,0,0,0,1.236e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,309,61,0,16501.4,0,0,0,0,0,0,1668.55,ONE_PC,20331.6,0,0,0,0,0,0,0,0,0,0,0.5,61,0,0,0,0,0,0,309,0,0,0,0,0.920351,15550.2,0,0
0,0,0,0,0.00203161,0,0,0,0,0,8,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00106699,0,WAIT_DIE,0,0,0,0,1.14473,0,6.9668e-05,0.105915,0,true,0,0,0,0,0,0,0,0,0.00410713,0,0,0,2.412e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,603,59,0,17417.9,0,0,0,0,0,0,2183.02,ONE_PC,20520.6,0,0,0,0,0,0,0,0,0,0,0.5,59,0,0,0,0,0,0,603,0,0,0,0,0.932794,16412,0,0
0,0,0,0,0.00409087,0,0,0,0,0,16,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00235264,0,WAIT_DIE,0,0,0,0,1.03185,0,0.000156948,0.108767,0,true,0,0,0,0,0,0,0,0,0.0072388,0,0,0,4.732e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,61,0,16996.7,0,0,0,0,0,0,1438.12,ONE_PC,22479.6,0,0,0,0,0,0,0,0,0,0,0.5,61,0,0,0,0,0,0,1024,0,0,0,0,0.940802,15993.2,0,0
0,0,0,0,0.00718284,0,0,0,0,0,32,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00271464,0,WAIT_DIE,0,0,0,0,1.08833,0,0.000163244,0.111029,0,true,0,0,0,0,0,0,0,0,0.0136049,0,0,0,8.064e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,60,0,17740.5,0,0,0,0,0,0,1480.13,ONE_PC,23193.4,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,1024,0,0,0,0,0.976848,16704,0,0
0,0,0,0,0.00573496,0,0,0,0,0,64,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00215796,0,WAIT_DIE,0,0,0,0,1.22285,0,9.4166e-05,0.125646,0,true,0,0,0,0,0,0,0,0,0.00988867,0,0,0,6.328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,66,0,17686.1,0,0,0,0,0,0,1399.73,ONE_PC,25770.1,0,0,0,0,0,0,0,0,0,0,0.5,66,0,0,0,0,0,0,1024,0,0,0,0,1.1019,16699.9,0,0
0,0,0,0,0.00320741,0,0,0,0,0,128,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00142418,0,WAIT_DIE,0,0,0,0,1.41881,0,8.6069e-05,0.147175,0,true,0,0,0,0,0,0,0,0,0.00545382,0,0,0,3.492e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,873,66,0,18810,0,0,0,0,0,0,1430.68,ONE_PC,32657.7,0,0,0,0,0,0,0,0,0,0,0.5,66,0,0,0,0,0,0,873,0,0,0,0,1.2896,17856.5,0,0
