log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,7516,0.00662368,341.685,0.00297635,0,0.00900688,0,0,2633.62,3,0.00390113,0,28,0,7516,0,7247.73,0.0193427,0,3,0,0,0.04,0,1849.66,0.742956,0.135679,61.9135,WAIT_DIE,0.00103221,0,0,0,1.24999,0,0.0153678,0.00806947,0,0,0.34299,0,0,false,0,0,0,0,0,0,29.0364,91.0011,0.126257,0,0.00417074,0.053561,0,6,0.0707801,0.905779,0,0,0,1561,22.8273,0,3690,0,0,0,0,9,14488,0,3872,0,0.915845,0,0,0,1338.58,ONE_PC,0,2268.81,0,0,0,0,0,0,0.95716,0.5,0.0140485,0,3,0,0,2083,7516,0.169913,0,0,3,0.851651,0.128227,0
0,7012,0.00748,415.84,0.00306527,0,0.0120138,0,0,2646.4,13,0.0038948,0,28,0,7012,0,6987.02,0.0224773,0,13,0,0,0.06,0,2371.19,1.02132,0.145071,44.2535,WAIT_DIE,0.0048179,0,0,0,1.4065,0,0.0177847,0.00836123,0,0,0.349639,0,0,false,0,0,0,0,0,0,28.1001,142.22,0.130396,0,0.00423455,0.0397626,0,6,0.0694791,0.7841,0,0,0,1720,22.5308,0,4417,0,0,0,1,14,15597,0,2652,0,1.27333,0,0,0,1120.25,ONE_PC,0,2099.45,0,0,0.476951,1,0,0,0.794881,0.5,0.015609,0,8,0,0,2640,7012,1.84367,0,0,13,0.774884,0.158373,0
0,5739,0.0183725,590.185,0.00356747,0,0.013054,0,0,2971.96,2,0.00419713,0,28,0,5739,0,5712.39,0.0217815,0,2,0,0,0.08,0,3361.81,1.27686,0.160611,45.3286,WAIT_DIE,0.000552625,0,0,0,1.46023,0,0.0175307,0.00836399,0,0,0.348733,0,0,false,0,0,0,0,0,0,28.1304,148.967,0.136011,0,0.00531957,0.0638265,0,1,0.0602978,0.771082,0,0,0,1455,22.5743,0,4373,0,0,0,0,2,14650,0,1543,0,1.13906,0,0,0,1092.32,ONE_PC,0,2171.49,0,0,0,0,0,0,0.832555,0.5,0.0150836,0,1,0,0,2741,5739,3.8837,0,0,2,0.713085,0.165558,0
0,6139,0.00718047,434.361,0.00325546,0,0.0169302,0,0,2819.43,0,0.00394787,0,28,0,6139,0,6043.44,0.0235397,0,0,0,0,0.1,0,3279.15,1.49686,0.158628,42.7029,WAIT_DIE,0,0,0,0,1.34502,0,0.0186576,0.00931193,0,0,0.332483,0,0,false,0,0,0,0,0,0,28.4428,123.552,0.166528,0,0.00486822,0.031712,0,0,0.0668272,0.842351,0,0,0,1553,22.6498,0,4960,0,0,0,0,5,16268,0,1140,0,1.0648,0,0,0,1033.22,ONE_PC,0,2239.67,0,0,0,0,0,0,0.857692,0.5,0.016572,0,5,0,0,3446,6139,0,0,0,0,0.802387,0.171393,0
0,7638,0.0191795,452.139,0.00331646,0,0.00239894,0,0,2670.14,5,0.00465825,0,28,0,7638,0,7480.08,0.00843616,0,5,0,0,0.01,0,953.001,193.409,0.0802841,179.618,WAIT_DIE,0.00146064,0,0,0,1.37715,0,0.00685082,0.00406502,0,0,0.366882,0,0,false,0,0,0,0,0,0,28.5911,208.625,0.0501619,0,0.00580708,0.0976581,0,4,0.0650614,0.772819,0,0,0,528,22.0073,0,1018,0,0,0,0,5,9743,0,6541,0,1.80359,0,0,0,2035.72,TWO_PC,0,2410.16,0,0,0,0,0,0,0.879029,0.5,0.00764928,0,1,0,0,569,7638,0.613612,0,0,5,0.873483,0.155892,0
0,8196,0.00728559,302.78,0.00298984,0,0.00500358,0,0,2374.48,20,0.00533553,0,28,0,8196,0,8137.58,0.0137959,0,20,0,0,0.02,0,1022.67,311.165,0.112803,164.544,WAIT_DIE,0.00804862,0,0,0,1.37196,0,0.0109235,0.0057482,0,0,0.34725,0,0,false,0,0,0,0,0,0,28.201,186.199,0.0868521,0,0.00559839,0.0229181,0,10,0.0719342,0.706934,0,0,0,1034,22.0658,0,2240,0,0,0,1,20,12818,0,5983,0,1.7768,0,0,0,1587,TWO_PC,0,2176.85,0,0,0.836514,1,0,0,0.83184,0.5,0.0119269,0,10,0,0,1179,8196,1.2093,0,0,20,0.848681,0.199063,0
0,6739,0.00866654,329.013,0.00338577,0,0.00807002,0,0,2463.65,0,0.00549156,0,28,0,6739,0,6620.45,0.0173388,0,0,0,0,0.04,0,1734.79,592.876,0.121626,192.196,WAIT_DIE,0,0,0,0,1.32546,0,0.0143558,0.00700108,0,0,0.349665,0,0,false,0,0,0,0,0,0,28.5014,211.824,0.110288,0,0.00610736,0.0288257,0,0,0.0634553,0.766437,0,0,0,1391,22.0668,0,3275,0,0,0,0,0,13763,0,3479,0,1.70141,0,0,0,1295.97,TWO_PC,0,2059.12,0,0,0,0,0,0,0.889343,0.5,0.0142813,0,0,0,0,1869,6739,0,0,0,0,0.844642,0.22589,0
0,5987,0.00841542,288.173,0.00375674,0,0.0102562,0,0,2659.68,2,0.00579702,0,28,0,5987,0,5938.94,0.0186655,0,2,0,0,0.06,0,2146.32,807.359,0.137572,39.794,WAIT_DIE,0.00041019,0,0,0,1.36218,0,0.0147876,0.0074316,0,0,0.335092,0,0,false,0,0,0,0,0,0,28.2266,128.183,0.129653,0,0.00644486,0.0143196,0,0,0.0593202,0.721781,0,0,0,1446,22.7448,0,3730,0,0,0,2,2,14274,0,2265,0,1.00391,0,0,0,1293.03,TWO_PC,0,2280.14,0,0,1.23171,2,0,0,0.833374,0.5,0.0144259,0,2,0,0,2276,5987,1.29566,0,0,2,0.822258,0.234146,0
0,5424,0.00870079,378.47,0.0039745,0,0.0120687,0,0,2651.04,5,0.0057466,0,28,0,5424,0,5331.35,0.0204368,0,5,0,0,0.08,0,2788.6,943.302,0.125243,196.496,WAIT_DIE,0.00198632,0,0,0,1.42713,0,0.0164724,0.00794571,0,0,0.346738,0,0,false,0,0,0,0,0,0,28.4866,198.602,0.140218,0,0.00655741,0.0314732,0,0,0.0562988,0.751027,0,0,0,1378,22.3983,0,3926,0,0,0,0,5,14491,0,1462,0,1.37949,0,0,0,1119.52,TWO_PC,0,2052,0,0,0,0,0,0,0.891732,0.5,0.0148078,0,5,0,0,2584,5424,1.44836,0,0,5,0.838644,0.240451,0
0,4883,0.0198367,502.98,0.00435818,0,0.0136797,0,0,2777.18,2,0.00587719,0,28,0,4883,0,4785.46,0.0194117,0,2,0,0,0.1,0,3420.75,1075.6,0.143958,64.3664,WAIT_DIE,0.00110747,0,0,0,1.34285,0,0.0155289,0.00774996,0,0,0.338795,0,0,false,0,0,0,0,0,0,28.5707,90.7031,0.116987,0,0.00664333,0.0704182,0,2,0.0535348,0.742635,0,0,0,1238,23.0071,0,4067,0,0,0,1,2,14524,0,878,0,0.667424,0,0,0,1073.6,TWO_PC,0,2121.32,0,0,0.403848,1,0,0,0.879669,0.5,0.0141866,0,0,0,0,2767,4883,2.19025,0,0,2,0.810004,0.223628,0
0,9099,0.00564877,149.572,0.00281372,0,0.00298398,0,0,2662.91,7,0.00388049,0,28,0,9099,0,8969.39,0.0110775,0,7,0,0,0.01,0,557.042,0.281075,0.0906385,61.1511,WAIT_DIE,0.0028366,0,0,0,1.4483,0,0.00888963,0.00428512,0,0,0.348671,0,0,false,0,0,0,0,0,0,28.4046,98.1756,0.0735421,0,0.00405468,0.0146483,0,0,0.0777765,0.81231,0,0,0,634,22.6486,0,1318,0,0,0,0,7,11718,0,7764,0,1.11942,0,0,0,2147,ONE_PC,0,2616.81,0,0,0,0,0,0,0.851276,0.5,0.00866719,0,7,0,0,701,9099,0.89199,0,0,7,0.885648,0.0678112,0
