prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
38679.9,0,153,0.138949,267.841,0.0770853,0,0.000546248,0,0,0,0.122337,0,16,0,221,0,190.507,0.000785682,0,0,0,0,0.08,0,40448.5,8.67946e+15,0.00467063,45.2793,WAIT_DIE,0,0,0,0,2.27104,0,0.000701824,0.00016014,0,0,0.181248,0,0,false,0,0,0,0,0,0,18.561,141.073,0.00435286,0,0.133986,0.163512,0,0,0.00236431,0.307791,0,0,0,52,15.6961,0,166,0,0,0,0,0,0,0,52,0,0.0412994,0,0,0,49517.8,TWO_PC,0,33918.4,0,0,0,0,0,0,0.44856,0.5,0.00044971,0,0,0,0,117,221,0,0,0,0,1.14328,0
38808.3,0,62,0.148881,254.545,0.0807018,0,0.000627828,0,0,0,0.115748,0,16,0,206,0,193.596,0.00107198,0,0,0,0,0.1,0,43984,6.6255e+15,0.00392367,51.4289,WAIT_DIE,0,0,0,0,2.27499,0,0.000988346,0.000272682,0,0,0.166997,0,0,false,0,0,0,0,0,0,17.0252,162.866,0.00465318,0,0.123048,0.149184,0,0,0.00233405,0.140778,0,0,0,43,15.694,0,176,0,0,0,0,0,0,0,31,0,0.0450123,0,0,0,51277.2,TWO_PC,0,33264.6,0,0,0,0,0,0,0.212041,0.5,0.000740748,0,0,0,0,132,206,0,0,0,0,1.04875,0
29389.2,0,415,0.0984836,201.409,0.0325752,0,0.000201764,0,0,0,0.0575469,0,16,0,508,0,470.713,0.00061211,0,0,0,0,0.01,0,7347.48,0.355087,0.00537694,53.0662,WAIT_DIE,0,0,0,0,2.43644,0,0.000558264,0.000361826,0,0,0.166033,0,0,false,0,0,0,0,0,0,17.2674,176.589,0.00310998,0,0.0741269,0.107612,0,0,0.00436672,0.171589,0,0,0,43,15.6329,0,84,0,0,0,0,0,0,0,416,0,0.103227,0,0,0,26528.3,ONE_PC,0,25782,0,0,0,0,0,0,0.26073,0.5,0.00107837,0,0,0,0,49,508,0,0,0,0,1.0623,0
34177.4,0,189,0.0985553,186.851,0.0399802,0,0.000290652,0,0,0,0.0751688,0,16,0,416,0,382.544,0.000699524,0,0,0,0,0.02,0,11902.8,0.539726,0.00425127,41.9862,WAIT_DIE,0,0,0,0,2.25286,0,0.000631948,0.0002768,0,0,0.167488,0,0,false,0,0,0,0,0,0,17.3993,130.34,0.00323824,0,0.0891763,0.148494,0,0,0.00369425,0.187723,0,0,0,43,15.6682,0,120,0,0,0,0,0,0,0,300,0,0.0673688,0,0,0,33187.3,ONE_PC,0,31313.2,0,0,0,0,0,0,0.281555,0.5,0.0010001,0,0,0,0,73,416,0,0,0,0,1.07165,0
34523.9,0,107,0.097657,207.766,0.046032,0,0.000494116,0,0,0,0.0753382,0,16,0,356,0,334.955,0.000756518,0,0,0,0,0.04,0,24544.1,0.812742,0.00493782,37.9395,WAIT_DIE,0,0,0,0,2.25298,0,0.0006742,0.00026552,0,0,0.163321,0,0,false,0,0,0,0,0,0,17.0053,114.814,0.00671326,0,0.0820731,0.107068,0,0,0.0034103,0.143264,0,0,0,54,15.683,0,175,0,0,0,0,0,0,0,181,0,0.0528743,0,0,0,32064.4,ONE_PC,0,28508.2,0,0,0,0,0,0,0.217175,0.5,0.0008041,0,0,0,0,121,356,0,0,0,0,1.0465,0
37828.2,0,165,0.11333,245.911,0.0527046,0,0.00060634,0,0,0,0.0754662,0,16,0,313,0,292.734,0.00142755,0,0,0,0,0.06,0,29822.7,1.117,0.00667029,45.0948,WAIT_DIE,0,0,0,0,2.18515,0,0.00134091,0.000516016,0,0,0.164223,0,0,false,0,0,0,0,0,0,17.1077,146.045,0.0101586,0,0.0827008,0.113545,0,0,0.00316923,0.154016,0,0,0,62,15.6777,0,198,0,0,0,0,0,0,0,111,0,0.0588487,0,0,0,39998.5,ONE_PC,0,33845,0,0,0,0,0,0,0.234162,0.5,0.00102006,0,0,0,0,140,313,0,0,0,0,1.05092,0
38601.7,0,209,0.0930897,264.572,0.056483,0,0.000729876,0,0,0,0.0829822,0,16,0,290,0,268.157,0.00153437,0,0,0,0,0.08,0,36248.8,1.18012,0.00635471,45.5102,WAIT_DIE,0,0,0,0,2.26132,0,0.00142898,0.00023473,0,0,0.165784,0,0,false,0,0,0,0,0,0,17.3033,144.391,0.0059931,0,0.0918882,0.109657,0,0,0.00311558,0.176549,0,0,0,66,15.6797,0,221,0,0,0,0,0,0,0,67,0,0.0558166,0,0,0,39933.5,ONE_PC,0,33336.5,0,0,0,0,0,0,0.263276,0.5,0.000612552,0,0,0,0,157,290,0,0,0,0,1.06337,0
37786.4,0,105,0.101391,287.204,0.0619223,0,0.000814208,0,0,0,0.0836896,0,16,0,270,0,251.599,0.00161389,0,0,0,0,0.1,0,47126.9,1.20597,0.00586483,27.6776,WAIT_DIE,0,0,0,0,2.23204,0,0.00150796,0.00022426,0,0,0.165229,0,0,false,0,0,0,0,0,0,17.1702,78.3977,0.00488623,0,0.10028,0.101411,0,0,0.00305023,0.161564,0,0,0,57,15.7046,0,231,0,0,0,0,0,0,0,41,0,0.0323115,0,0,0,38271.5,ONE_PC,0,30107.6,0,0,0,0,0,0,0.244382,0.5,0.00058975,0,0,0,0,172,270,0,0,0,0,1.05601,0
31014.6,0,184,0.148017,204.652,0.0390984,0,0.00016396,0,0,0,0.100186,0,16,0,419,0,384.627,0.00069237,0,0,0,0,0.01,0,8903.83,1.65043e+16,0.00463317,57.9319,WAIT_DIE,0,0,0,0,2.39808,0,0.000643612,0.000195388,0,0,0.169382,0,0,false,0,0,0,0,0,0,17.4299,195.621,0.00252669,0,0.115522,0.208196,0,0,0.00357886,0.18448,0,0,0,30,15.6444,0,70,0,0,0,0,0,0,0,345,0,0.0936139,0,0,0,31414.2,TWO_PC,0,27834.4,0,0,0,0,0,0,0.274923,0.5,0.00054284,0,0,0,0,44,419,0,0,0,0,1.07331,0
33707.9,0,77,0.13246,187.429,0.0467821,0,0.000248072,0,0,0,0.108743,0,16,0,349,0,315.319,0.000802446,0,0,0,0,0.02,0,12886.3,1.5167e+16,0.00340654,49.7341,WAIT_DIE,0,0,0,0,2.15733,0,0.000751278,0.000158854,0,0,0.174201,0,0,false,0,0,0,0,0,0,17.709,162.017,0.00512155,0,0.116149,0.142084,0,0,0.00307999,0.213367,0,0,0,36,15.6717,0,100,0,0,0,0,0,0,0,251,0,0.0670926,0,0,0,38090.3,TWO_PC,0,31644.4,0,0,0,0,0,0,0.317282,0.5,0.000608752,0,0,0,0,62,349,0,0,0,0,1.09178,0
35640.5,0,260,0.171544,225.088,0.0568732,0,0.000396584,0,0,0,0.108143,0,16,0,292,0,266.35,0.00064844,0,0,0,0,0.04,0,23877,1.21909e+16,0.00444077,41.4121,WAIT_DIE,0,0,0,0,2.35357,0,0.000581552,0.00019936,0,0,0.17088,0,0,false,0,0,0,0,0,0,17.5408,125.517,0.00325298,0,0.124543,0.171671,0,0,0.0027718,0.196001,0,0,0,41,15.6922,0,138,0,0,0,0,0,0,0,152,0,0.0467768,0,0,0,39895,TWO_PC,0,29690.3,0,0,0,0,0,0,0.290833,0.5,0.000598098,0,0,0,0,99,292,0,0,0,0,1.08032,0
35899.5,0,176,0.149932,274.518,0.0627542,0,0.000526568,0,0,0,0.108546,0,16,0,271,0,247.242,0.000987634,0,0,0,0,0.06,0,30164.4,1.02092e+16,0.00508703,52.0504,WAIT_DIE,0,0,0,0,2.37489,0,0.000910864,0.000272796,0,0,0.171803,0,0,false,0,0,0,0,0,0,17.5375,166.549,0.00422022,0,0.117211,0.149963,0,0,0.00274612,0.195393,0,0,0,53,15.682,0,172,0,0,0,0,0,0,0,97,0,0.0575891,0,0,0,44977.7,TWO_PC,0,32606.3,0,0,0,0,0,0,0.289658,0.5,0.000704454,0,0,0,0,121,271,0,0,0,0,1.07944,0
36490.3,0,263,0.127637,261.568,0.0677057,0,0.000601404,0,0,0,0.108778,0,16,0,242,0,223.593,0.0010146,0,0,0,0,0.08,0,35683.8,8.68826e+15,0.00423096,36.5913,WAIT_DIE,0,0,0,0,2.26975,0,0.000932708,0.000267988,0,0,0.167101,0,0,false,0,0,0,0,0,0,17.3172,106.602,0.00877077,0,0.126054,0.133755,0,0,0.00259055,0.171626,0,0,0,58,15.7022,0,183,0,0,0,0,0,0,0,56,0,0.0367856,0,0,0,44197.2,TWO_PC,0,29793.8,0,0,0,0,0,0,0.258468,0.5,0.0007502,0,0,0,0,128,242,0,0,0,0,1.06665,0
36228.5,0,71,0.147554,256.717,0.0756401,0,0.000663628,0,0,0,0.108874,0,16,0,218,0,207.052,0.00134517,0,0,0,0,0.1,0,42945.7,6.51465e+15,0.00400543,39.2807,WAIT_DIE,0,0,0,0,2.20133,0,0.00125036,0.000207322,0,0,0.164503,0,0,false,0,0,0,0,0,0,16.846,125.002,0.00443865,0,0.118088,0.147679,0,0,0.00245904,0.122433,0,0,0,44,15.699,0,184,0,0,0,0,0,0,0,33,0,0.038443,0,0,0,49051.8,TWO_PC,0,31482.8,0,0,0,0,0,0,0.183799,0.5,0.000545574,0,0,0,0,141,218,0,0,0,0,1.03767,0
30581.6,0,164,0.092949,112.513,0.0338166,0,0.000197432,0,0,0,0.0512335,0,16,0,484,0,454.077,0.000991328,0,0,0,0,0.01,0,6812.17,0.19619,0.00419053,26.4476,WAIT_DIE,0,0,0,0,2.0639,0,0.000932038,0.000129426,0,0,0.163342,0,0,false,0,0,0,0,0,0,17.0544,78.8681,0.00274208,0,0.0754369,0.127714,0,0,0.00416348,0.148504,0,0,0,39,15.6883,0,84,0,0,0,0,0,0,0,397,0,0.0490189,0,0,0,31272.7,ONE_PC,0,29770.8,0,0,0,0,0,0,0.22539,0.5,0.00040895,0,0,0,0,48,484,0,0,0,0,1.05073,0
33348.9,0,365,0.0920977,202.03,0.0385853,0,0.00028332,0,0,0,0.0670998,0,16,0,419,0,404.918,0.00069675,0,0,0,0,0.02,0,10954.3,0.346649,0.00450339,52.2655,WAIT_DIE,0,0,0,0,2.34593,0,0.000630934,0.00017354,0,0,0.159464,0,0,false,0,0,0,0,0,0,16.5564,175.672,0.00312875,0,0.0836118,0.109207,0,0,0.00369622,0.094036,0,0,0,44,15.65,0,114,0,0,0,0,0,0,0,304,0,0.0855779,0,0,0,33012.7,ONE_PC,0,31403.2,0,0,0,0,0,0,0.145711,0.5,0.000440124,0,0,0,0,71,419,0,0,0,0,1.01937,0
35622.5,0,353,0.123008,213.168,0.0460587,0,0.00049454,0,0,0,0.0753192,0,16,0,355,0,336.914,0.00117669,0,0,0,0,0.04,0,21787.5,0.692113,0.00514812,31.358,WAIT_DIE,0,0,0,0,2.22017,0,0.00109178,0.00022342,0,0,0.162632,0,0,false,0,0,0,0,0,0,16.8589,92.8615,0.00365384,0,0.0769642,0.123158,0,0,0.00339751,0.127066,0,0,0,55,15.6939,0,171,0,0,0,0,0,0,0,179,0,0.0431793,0,0,0,35950.1,ONE_PC,0,32498.2,0,0,0,0,0,0,0.194409,0.5,0.000680898,0,0,0,0,121,355,0,0,0,0,1.03745,0
36743.7,0,391,0.103013,294.078,0.0503247,0,0.000638076,0,0,0,0.0753893,0,16,0,326,0,305.388,0.00136535,0,0,0,0,0.06,0,27833.1,1.02081,0.00497593,62.4355,WAIT_DIE,0,0,0,0,2.33759,0,0.00125453,0.000546494,0,0,0.166511,0,0,false,0,0,0,0,0,0,17.0799,204.427,0.00551209,0,0.0773757,0.103478,0,0,0.00330044,0.151759,0,0,0,65,15.6537,0,209,0,0,0,0,0,0,0,114,0,0.0826095,0,0,0,36851,ONE_PC,0,32190.7,0,0,0,0,0,0,0.229348,0.5,0.000987664,0,0,0,0,147,326,0,0,0,0,1.0506,0
