log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,5685,0.00793366,273.291,0.00340627,0,0.00843638,0,0,2444.05,0,0.00545376,0,24,0,5685,0,5651.94,0.0168155,0.3391,0,0,0,0.05,0,1000,688.744,0.114764,0.00435121,38.5936,WAIT_DIE,0,0,0,0,1.11802,0,0.0137465,0.00719473,0,0,0,0,0,false,0,0,0,0,0,0,24.1404,123.922,0.114783,0,0,0.00587578,0.0115116,0,0,0.0549357,0.617166,0.00216123,0,0,1283,19.3795,0,1902.14,3237,0,0,0,1,0,12822,0,2453,0,0.906653,0,0,0,1206.3,TWO_PC,0,2036.42,0,0,0.362407,1,0,0,0.737309,0.5,0.0133725,0,0,0,0,1949,5685,0,0,0,0,0.844578,0.181961,0
0,6454,0.0079697,282.499,0.00350182,0,0.00948147,0,0,2515.48,0,0.00556774,0,28,0,6454,0,6400.85,0.0174418,0.339009,0,0,0,0.05,0,1000,703.661,0.135582,0.0045052,35.1846,WAIT_DIE,0,0,0,0,1.40143,0,0.0137558,0.00739818,0,0,0,0,0,false,0,0,0,0,0,0,28.2325,114.434,0.108689,0,0,0.00603935,0.0248024,0,0,0.0622762,0.756689,0.00219406,0,0,1467,22.7697,0,1964.05,3630,0,0,0,0,0,14439,0,2802,0,0.964537,0,0,0,1253.71,TWO_PC,0,2105.9,0,0,0,0,0,0,0.834561,0.5,0.0137918,0,0,0,0,2185,6454,0,0,0,0,0.823914,0.185119,0
0,1027,0.00438843,231.947,0.00187793,0,0.00147186,0,0,1645.35,0,0.00262785,0,2,0,1027,0,1024.39,0.00180817,0.154696,0,0,0,0.05,0,1000,0.551664,0.0223002,0.00206713,104.249,WAIT_DIE,0,0,0,0,0.975087,0,0.00145718,0.000853496,0,0,0,0,0,false,0,0,0,0,0,0,2.0051,175.28,0.0210465,0,0,0.00301377,0.00709285,0,0,0.00996849,0.0635147,0.0016537,0,0,222,1.46463,0,755.669,550,0,0,0,0,0,1578,0,470,0,0.206333,0,0,0,924.98,ONE_PC,0,1420.29,0,0,0,0,0,0,0.0619982,0.5,0.00221201,0,0,0,0,335,1027,0,0,0,0,0.903709,0.0760769,0
0,1750,0.00534014,348.538,0.00221616,0,0.00258832,0,0,1866.73,0,0.00316052,0,4,0,1750,0,1744.17,0.00576197,0.226692,0,0,0,0.05,0,1000,0.790251,0.0381252,0.00249117,229.018,WAIT_DIE,0,0,0,0,1.78482,0,0.00511545,0.0019625,0,0,0,0,0,false,0,0,0,0,0,0,4.01338,321.235,0.0377241,0,0,0.00359689,0.00774302,0,0,0.0170636,0.102531,0.00186857,0,0,390,2.75836,0,914.563,981,0,0,0,0,0,2732,0,773,0,0.633685,0,0,0,972.216,ONE_PC,0,1516.97,0,0,0,0,0,0,0.117196,0.5,0.00540743,0,0,0,0,587,1750,0,0,0,0,0.903302,0.100379,0
0,3520,0.00457586,213.346,0.00217991,0,0.005317,0,0,1964.67,6,0.00302582,0,8,0,3520,0,3510.42,0.00967418,0.254644,6,0,0,0.05,0,1000,0.622882,0.0576846,0.00248103,39.3977,WAIT_DIE,0.0017936,0,0,0,1.066,0,0.00837487,0.00302545,0,0,0,0,0,false,0,0,0,0,0,0,8.02183,130.082,0.0568451,0,0,0.00342594,0.00583555,0,2,0.0342912,0.192885,0.00177955,0,0,801,6.12053,0,931.674,1995,0,0,0,0,6,5526,0,1511,0,0.550147,0,0,0,1045.5,ONE_PC,0,1635.7,0,0,0,0,0,0,0.262702,0.5,0.00787958,0,4,0,0,1208,3520,1.16677,0,0,6,0.903714,0.10767,0
0,4613,0.00563154,233.357,0.00250686,0,0.00687593,0,0,2271.07,6,0.00342624,0,12,0,4613,0,4597.92,0.0136086,0.261874,6,0,0,0.05,0,1000,0.754387,0.084469,0.00286974,41.2607,WAIT_DIE,0.00205069,0,0,0,1.82299,0,0.0118298,0.00443617,0,0,0,0,0,false,0,0,0,0,0,0,12.0393,138.227,0.0894364,0,0,0.00409578,0.0080682,0,2,0.0446536,0.289566,0.00202982,0,0,1064,9.25932,0,1056.25,2619,0,0,0,0,6,7234,0,1993,0,0.779475,0,0,0,1193.53,ONE_PC,0,1871.05,0,0,0,0,0,0,0.387886,0.5,0.0124733,0,4,0,0,1556,4613,1.55461,0,0,6,0.881119,0.126608,0
0,6097,0.00542649,203.999,0.00250623,0,0.00896768,0,0,2301.25,4,0.00338816,0,16,0,6097,0,6082.13,0.0147663,0.315017,4,0,0,0.05,0,1000,0.59274,0.119176,0.00290608,14.2616,WAIT_DIE,0.00159653,0,0,0,1.78615,0,0.0127041,0.00522098,0,0,0,0,0,false,0,0,0,0,0,0,16.0391,35.0557,0.0838902,0,0,0.00386404,0.0100958,0,4,0.0587497,0.382941,0.00198924,0,0,1403,12.9916,0,1092.78,3383,0,0,0,0,4,9490,0,2659,0,0.336291,0,0,0,1249.68,ONE_PC,0,1942.7,0,0,0,0,0,0,0.528011,0.5,0.00963103,0,0,0,0,2035,6097,0.311319,0,0,4,0.83851,0.0822619,0
0,6695,0.00563025,313.808,0.00283831,0,0.00995452,0,0,2523.59,0,0.00372049,0,20,0,6695,0,6676.34,0.0199632,0.324175,0,0,0,0.05,0,1000,0.780561,0.146275,0.0033412,111.356,WAIT_DIE,0,0,0,0,1.29829,0,0.0173723,0.00711044,0,0,0,0,0,false,0,0,0,0,0,0,20.0559,133.035,0.0964833,0,0,0.00422716,0.026667,0,0,0.0647341,0.520007,0.00217257,0,0,1541,15.776,0,1329.07,3801,0,0,0,0,0,10506,0,2881,0,1.11158,0,0,0,1323.19,ONE_PC,0,2073.84,0,0,0,0,0,0,0.60706,0.5,0.0128989,0,0,0,0,2273,6695,0,0,0,0,0.809017,0.134736,0
0,7902,0.00512268,294.344,0.00287812,0,0.0117251,0,0,2581.62,10,0.00375124,0,24,0,7902,0,7878.25,0.021795,0.3211,10,0,0,0.05,0,1000,0.803121,0.163785,0.00332571,33.8284,WAIT_DIE,0.00501593,0,0,0,1.0703,0,0.0178349,0.00937607,0,0,0,0,0,false,0,0,0,0,0,0,24.0724,108.173,0.144674,0,0,0.00390183,0.00879557,0,1,0.0764818,0.631688,0.0022876,0,0,1801,19.1898,0,1345.08,4483,0,0,0,0,10,12394,0,3407,0,1.1153,0,0,0,1418.7,ONE_PC,0,2223.91,0,0,0,0,0,0,0.719262,0.5,0.0163831,0,9,0,0,2694,7902,1.21775,0,0,10,0.787162,0.137172,0
0,8940,0.0055761,329.031,0.00295941,0,0.0131748,0,0,2628.75,3,0.00380947,0,28,0,8940,0,8913.28,0.0247307,0.326965,3,0,0,0.05,0,1000,0.855088,0.187996,0.00346076,35.0038,WAIT_DIE,0.00207892,0,0,0,1.10994,0,0.0191625,0.0111371,0,0,0,0,0,false,0,0,0,0,0,0,28.0839,112.808,0.148484,0,0,0.00394232,0.00781538,0,1,0.086475,0.767353,0.00230469,0,0,2044,22.4904,0,1362.26,5061,0,0,0,0,3,14004,0,3877,0,1.32037,0,0,0,1502.85,ONE_PC,0,2353.68,0,0,0,0,0,0,0.801994,0.5,0.0178996,0,2,0,0,3019,8940,0.636259,0,0,3,0.754008,0.13615,0
